sample,nr,dr,df,rf,avg_prey,std_prey,avg_predators,std_predators
346,987.4,1.046,0.0809,0.6072,60.625,4.63155,403.225,17.0059
347,861.4,0.926,0.0983,0.5696,75.025,25.0669,337.85,117.168
348,204.4,0.854,0.0989,0.3672,0,0,205.25,0.353553
349,911.8,0.698,0.1946,0.4784,57.75,8.41457,594.975,43.1689
350,118,1.79,0.1064,0.412,0,0,144.025,1.23744
351,326.8,0.887,0.116,0.4288,0,0,327,0
352,389.8,0.857,0.1481,0.4744,0,0,380.25,13.7886
353,906.4,0.773,0.0698,0.5624,91.05,4.38406,322.575,29.8753
354,627.4,1.208,0.1973,0.308,0,0,628,0
355,978.4,1.82,0.0545,0.648,13.95,2.54558,337.975,5.33866
356,681.4,1.592,0.1544,0.5336,19.95,1.76777,568.125,36.1685
357,712,1.826,0.089,0.6288,53.85,0.0707107,360.375,3.21734
358,348.4,0.629,0.0725,0.54,70.55,2.75772,170.05,28.5671
359,623.8,1.4,0.134,0.6016,25.875,5.6215,493.925,28.461
360,559,1.283,0.1505,0.6408,12.825,1.44957,491.925,15.2382
361,805.6,0.953,0.1808,0.5304,22.8,2.40416,668.725,12.4097
362,816.4,1.577,0.0788,0.4776,79.975,0.813173,302.625,14.531
363,973,1.652,0.0953,0.3704,66.625,1.09602,441.5,6.29325
364,539.2,0.719,0.1112,0.592,64.025,0.247487,313.7,47.0226
365,524.8,1.058,0.0689,0.6272,52.15,3.9598,260.05,19.304
366,373.6,0.782,0.1727,0.3688,0,0,374,0
367,263.8,1.682,0.1199,0.672,0,0,264,0
368,798.4,1.802,0.1091,0.6088,54.95,17.8898,407.85,91.7117
369,893.8,0.86,0.0821,0.3456,73.975,9.5813,376.125,49.4621
370,730,1.112,0.1487,0.46,17.95,1.27279,608.375,17.713
371,514,0.914,0.1748,0.5408,1.1,0.777817,508.75,5.02046
372,985.6,0.827,0.1337,0.5976,59.1,16.4756,523.975,69.1904
373,289,0.563,0.0512,0.4832,94.35,1.9799,108.75,10.3238
374,465.4,0.617,0.1478,0.4264,12.35,0.282843,434.575,2.22739
375,433,1.931,0.1835,0.5152,0,0,433,0
376,474.4,1.526,0.1532,0.4224,0,0,463.125,16.7938
377,217,0.911,0.0749,0.5384,1.5,1.69706,214.275,3.50018
378,413.2,1.643,0.1577,0.5936,0.1,0.141421,413.85,0.212132
379,839.8,0.548,0.1457,0.336,78.175,2.93449,501.15,8.41457
380,998.2,0.899,0.1313,0.492,72.975,1.30815,448.05,37.8302
381,379,1.256,0.179,0.3168,0,0,379.725,1.0253
382,807.4,0.767,0.1817,0.3432,8.275,4.63155,745.35,51.9723
383,260.2,1.535,0.0869,0.5528,0.3,0.424264,260.225,1.09602
384,341.2,1.97,0.1736,0.6248,0,0,342,0
385,746.2,1.883,0.1952,0.3184,0,0,747,0
386,137.8,1.595,0.0776,0.5576,0,0,138,0
387,424,1.139,0.1793,0.3512,0,0,424,0
388,551.8,1.874,0.1022,0.388,21.925,1.80312,451.125,24.7134
389,674.2,1.265,0.0761,0.4416,64,4.45477,282.825,34.1179
390,431.2,1.193,0.1526,0.4976,0,0,432,0
391,244,1.01,0.1226,0.3608,0,0,249.925,2.15668
392,242.2,0.56,0.1475,0.5472,0,0,236.925,8.59135
393,305.2,1.517,0.1775,0.6424,0,0,306,0
394,190,1.445,0.143,0.436,0,0,213.25,1.48492
395,967.6,0.704,0.1868,0.5112,67.375,8.3085,561.15,26.8701
396,748,1.94,0.1424,0.5896,33.825,9.72272,491.025,55.5432
397,658,0.839,0.0728,0.6096,82.95,1.76777,240.525,20.895
398,663.4,1.979,0.113,0.508,44.375,2.36881,405.375,52.1491
399,614.8,1.478,0.1685,0.5312,7.9,4.45477,578.325,21.5314
400,767.8,1.406,0.1721,0.6664,24.35,2.40416,631.8,25.173
401,569.8,1.532,0.0542,0.6,48.5,17.112,203.75,80.8223
402,542.8,0.956,0.1589,0.68,11.8,1.3435,493.1,0.212132
403,488.8,0.833,0.05,0.6568,36.8,0.989949,82.325,2.2981
404,685,0.602,0.1055,0.6976,91.15,32.3148,320.1,73.1148
405,456.4,1.985,0.1049,0.4336,7.1,1.41421,436.4,2.82843
406,280,1.085,0.1004,0.6192,3.25,1.27279,272.6,4.17193
407,641.8,0.986,0.1919,0.4168,0,0,642,0
408,650.8,0.836,0.1253,0.3976,30.925,4.9851,509.25,19.9404
409,317.8,1.634,0.1955,0.6776,0,0,318,0
410,557.2,1.121,0.1163,0.42,7.275,3.78302,531.4,16.9706
411,136,1.271,0.0647,0.4608,0,0,136,0
412,461.8,1.58,0.17,0.6064,0.15,0.212132,449.775,15.3796
413,587.8,1.115,0.104,0.4256,32.275,4.63155,438.6,28.1428
414,964,0.572,0.1622,0.5176,114.975,29.0267,390.925,6.39932
415,251.2,1.721,0.1823,0.3784,0,0,296.85,2.40416
416,760.6,0.554,0.1694,0.3448,56.225,12.4097,552.025,38.7141
417,919,1.196,0.1745,0.6928,34.6,16.617,631.925,115.789
418,632.8,1.574,0.0653,0.6952,34.525,9.72272,293.925,78.2414
419,535.6,1.7,0.1637,0.3232,0,0,536,0
420,649,1.649,0.1631,0.6968,26.275,1.37886,493.4,18.1019
421,337.6,1.412,0.1568,0.5776,0,0,338,0
422,683.2,1.442,0.1142,0.6168,46.475,11.4198,424.575,32.0673
423,991,1.607,0.0995,0.6744,60.525,5.26795,486.2,44.4063
424,928,0.728,0.0956,0.4112,81.55,6.01041,379.675,54.9068
425,163,0.806,0.1757,0.6416,0,0,167.575,3.57089
426,874,1.364,0.1274,0.5448,39.55,1.27279,571.45,45.8205
