sample,nr,dr,df,rf,avg_prey,std_prey,avg_predators,std_predators
249,501.4,1.244,0.0677,0.6544,45.85,12.3037,246.025,32.7037
250,647.2,0.734,0.1289,0.3664,31.825,4.41942,512.925,1.6617
251,393.4,1.4,0.1271,0.352,0,0,394,0
252,137.8,0.761,0.1628,0.4512,0,0,203.6,9.61665
253,539.2,1.805,0.1886,0.4936,0,0,540,0
254,976.6,1.124,0.059,0.5584,65.525,4.77297,309.45,112.359
255,526.6,0.587,0.1763,0.3952,1.925,0.388909,523.025,0.176777
256,510.4,1.451,0.0896,0.468,38.5,7.70746,347.7,21.8496
257,233.2,0.605,0.1625,0.452,0,0,242.85,1.27279
258,357.4,1.589,0.1319,0.616,1.325,1.87383,355.325,3.78302
259,643.6,1.832,0.1733,0.5208,6.65,2.6163,607.425,14.2482
260,420.4,1.163,0.1946,0.6712,0,0,421,0
261,811,1.775,0.1028,0.5376,64.575,3.0052,304.75,17.0413
262,902.8,1.118,0.1373,0.6176,46.675,0.247487,559.25,72.0542
263,753.4,1.139,0.1346,0.4976,28.175,0.742462,556.825,1.0253
264,672.4,1.643,0.0692,0.4432,68.725,4.20729,261.175,68.2004
265,616.6,1.622,0.0593,0.5928,48.525,6.965,229.425,25.4205
266,307,0.809,0.1607,0.6496,0.15,0.212132,306.625,0.53033
267,809.2,1.229,0.1652,0.4448,16.675,2.51023,706.7,16.7584
268,830.8,1.13,0.1118,0.3032,31.85,0.989949,625.35,8.90955
269,438.4,1.508,0.0956,0.3472,1.75,2.47487,433.15,8.27315
270,373.6,1.235,0.0863,0.6688,32.85,3.39411,264.375,23.6527
271,884.8,1.463,0.101,0.6536,50.3,5.86899,472.95,41.0122
272,452.8,1.052,0.0866,0.4656,26.625,11.2076,346.5,63.1446
273,733.6,0.572,0.1187,0.38,93.775,10.8541,361.4,21.496
274,560.8,1.502,0.1148,0.3552,3.175,0.671751,544.575,2.79307
275,197.2,0.56,0.05,0.3064,7.2,0.777817,190.525,0.671751
276,719.2,1.73,0.1409,0.4368,18.55,5.79828,617.175,34.5422
277,724.6,1.964,0.0686,0.4712,62.375,2.93449,268.225,48.26
278,983.8,1.802,0.1487,0.44,46.625,3.57089,617.95,2.26274
279,908.2,1.415,0.0662,0.3624,76.25,2.68701,342.7,17.8191
280,658,1.763,0.1382,0.3856,6.675,2.08597,626.325,5.90434
281,730,0.641,0.053,0.4728,86.25,8.98026,163.2,7.42462
282,301.6,1.217,0.0947,0.652,20.175,4.84368,249.3,16.8291
283,805.6,1.922,0.0878,0.4752,72.4,1.20208,306.975,23.4406
284,310.6,0.827,0.062,0.3656,24.025,2.15668,262.25,4.38406
285,784,1.862,0.0899,0.6208,57.375,1.52028,343.9,45.3255
286,712,0.719,0.1799,0.4248,16.65,12.2329,611.75,23.9002
287,154,1.214,0.0731,0.5472,0,0,154,0
288,395.2,1.091,0.1259,0.5848,2.3,2.54558,379.175,22.5921
289,505,1.073,0.1583,0.6888,3.65,1.76777,486.725,16.7231
290,467.2,1.262,0.083,0.548,47.5,13.5057,253,46.8105
291,559,1.745,0.1178,0.656,32.725,3.85373,422.45,22.5567
292,292.6,1.979,0.0842,0.3304,0,0,285.675,10.3591
